Type,GraspType,Object,Reponses,Instruction
Hold,Writing,Rubik's cube,0,How would you hold rubik's cube?
Hold,Lateral,Scalpel,3,How would you hold a scalpel?
Hold,MediumWrap,Scalpel,4,How would you hold a scalpel?
Hold,Tripod,Scalpel,0,How would you hold a scalpel?
Hold,Writing,Scalpel,13,How would you hold a scalpel?
Hold,Lateral,Scissors,8,How would you hold scissors?
Hold,MediumWrap,Scissors,0,How would you hold scissors?
Hold,Tripod,Scissors,3,How would you hold scissors?
Hold,Writing,Scissors,9,How would you hold scissors?
Hold,Lateral,Screw,0,How would you hold a screw?
Hold,MediumWrap,Screw,1,How would you hold a screw?
Hold,Tripod,Screw,12,How would you hold a screw?
Hold,Writing,Screw,7,How would you hold a screw?
Hold,Lateral,Screwdriver,0,How would you hold a screwdriver?
Hold,MediumWrap,Screwdriver,4,How would you hold a screwdriver?
Hold,Tripod,Screwdriver,8,How would you hold a screwdriver?
Hold,Writing,Screwdriver,8,How would you hold a screwdriver?
Hold,Lateral,Sheet of paper,16,How would you hold a sheet of paper?
Hold,MediumWrap,Sheet of paper,0,How would you hold a sheet of paper?
Hold,Tripod,Sheet of paper,0,How would you hold a sheet of paper?
Hold,Writing,Sheet of paper,4,How would you hold a sheet of paper?
Hold,Lateral,Spatula,15,How would you hold a spatula?
Hold,MediumWrap,Spatula,1,How would you hold a spatula?
Hold,Tripod,Spatula,0,How would you hold a spatula?
Hold,Writing,Spatula,4,How would you hold a spatula?
Hold,Lateral,Sponge,6,How would you hold a sponge?
Hold,MediumWrap,Sponge,4,How would you hold a sponge?
Hold,Tripod,Sponge,8,How would you hold a sponge?
Hold,Writing,Sponge,2,How would you hold a sponge?
Hold,Lateral,Spoon,6,How would you hold a spoon?
Hold,MediumWrap,Spoon,1,How would you hold a spoon?
Hold,Tripod,Spoon,1,How would you hold a spoon?
Hold,Writing,Spoon,11,How would you hold a spoon?
Hold,Lateral,Strawberry,0,How would you hold a strawberry?
Hold,MediumWrap,Strawberry,1,How would you hold a strawberry?
Hold,Tripod,Strawberry,17,How would you hold a strawberry?
Hold,Writing,Strawberry,2,How would you hold a strawberry?
Hold,Lateral,Syringe,1,How would you hold a syringe?
Hold,MediumWrap,Syringe,2,How would you hold a syringe?
Hold,Tripod,Syringe,4,How would you hold a syringe?
Hold,Writing,Syringe,13,How would you hold a syringe?
Hold,Lateral,Tennis ball,1,How would you hold a tennis ball?
Hold,MediumWrap,Tennis ball,8,How would you hold a tennis ball?
Hold,Tripod,Tennis ball,11,How would you hold a tennis ball?
Hold,Writing,Tennis ball,0,How would you hold a tennis ball?
Hold,Lateral,Thermometer,3,How would you hold a thermometer?
Hold,MediumWrap,Thermometer,0,How would you hold a thermometer?
Hold,Tripod,Thermometer,0,How would you hold a thermometer?
Hold,Writing,Thermometer,17,How would you hold a thermometer?
Hold,Lateral,Toothbrush,1,How would you hold a toothbrush?
Hold,MediumWrap,Toothbrush,3,How would you hold a toothbrush?
Hold,Tripod,Toothbrush,1,How would you hold a toothbrush?
Hold,Writing,Toothbrush,15,How would you hold a toothbrush?
Hold,Lateral,Tube,2,How would you hold a tube?
Hold,MediumWrap,Tube,8,How would you hold a tube?
Hold,Tripod,Tube,1,How would you hold a tube?
Hold,Writing,Tube,9,How would you hold a tube?
Hold,Lateral,Tweezers,2,How would you hold tweezers?
Hold,MediumWrap,Tweezers,0,How would you hold tweezers?
Hold,Tripod,Tweezers,1,How would you hold tweezers?
Hold,Writing,Tweezers,17,How would you hold tweezers?
Hold,Lateral,Vase,1,How would you hold a vase?
Hold,MediumWrap,Vase,18,How would you hold a vase?
Hold,Tripod,Vase,1,How would you hold a vase?
Hold,Writing,Vase,0,How would you hold a vase?
Hold,Lateral,Wallet,17,How would you hold a wallet?
Hold,MediumWrap,Wallet,0,How would you hold a wallet?
Hold,Tripod,Wallet,2,How would you hold a wallet?
Hold,Writing,Wallet,1,How would you hold a wallet?
Hold,Lateral,Walnut,1,How would you hold a walnut?
Hold,MediumWrap,Walnut,2,How would you hold a walnut?
Hold,Tripod,Walnut,17,How would you hold a walnut?
Hold,Writing,Walnut,0,How would you hold a walnut?
Hold,Lateral,Wine bottle,0,How would you hold a wine bottle?
Hold,MediumWrap,Wine bottle,18,How would you hold a wine bottle?
Hold,Tripod,Wine bottle,1,How would you hold a wine bottle?
Hold,Writing,Wine bottle,1,How would you hold a wine bottle?
Hold,Lateral,Wine glas,1,How would you hold a wine glass?
Hold,MediumWrap,Wine glas,17,How would you hold a wine glass?
Hold,Tripod,Wine glas,0,How would you hold a wine glass?
Hold,Writing,Wine glas,2,How would you hold a wine glass?
Hold,Lateral,Chestnut,0,How would you hold a chestnut?
Hold,MediumWrap,Chestnut,3,How would you hold a chestnut?
Hold,Tripod,Chestnut,14,How would you hold a chestnut?
Hold,Writing,Chestnut,3,How would you hold a chestnut?
Hold,Lateral,Whisk,3,How would you hold a whisk?
Hold,MediumWrap,Whisk,3,How would you hold a whisk?
Hold,Tripod,Whisk,4,How would you hold a whisk?
Hold,Writing,Whisk,10,How would you hold a whisk?
